                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.079,                 3.6518,                 3.7359,                 1.4274,                 0.6958,                0.63333,                0.74643,                0.48764,                0.67294,                    0.6,                0.61614,                0.43515,                 1.6602,                 2.6879,                 1.4658,                  1.386,                      0,                      0,                      0
                      2,                 1.0166,                 2.7712,                 2.8401,                 1.3401,                0.69239,                0.63333,                0.74148,                 0.5065,                0.67057,                    0.6,                0.61287,                0.43291,                 1.6342,                 2.6784,                 1.4604,                 1.3788,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.0727,                 2.5579,                 3.0488,                 1.5401,                0.71543,                 0.6301,                0.74248,                0.50707,                0.69207,                    0.6,                0.61285,                0.43299,                 1.6273,                 2.6776,                  1.456,                 1.3783,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.1549,                 3.4342,                 3.0723,                 1.4562,                0.71495,                0.61667,                0.74352,                0.50794,                0.70112,                    0.6,                0.61173,                0.43022,                 1.6169,                 2.6734,                 1.4564,                 1.3771,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.1944,                  2.869,                 2.2671,                 1.3834,                0.72419,                0.61667,                0.74453,                0.51098,                0.70939,                    0.6,                0.61162,                0.43378,                 1.6065,                 2.6703,                 1.4612,                 1.3751,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                0.99573,                 3.6076,                 2.9969,                 1.3539,                0.75635,                0.63333,                0.75084,                0.50573,                0.72304,                    0.6,                0.61568,                0.43335,                 1.6001,                 2.6671,                 1.4655,                 1.3737,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.1903,                 2.5195,                 2.9656,                 1.3158,                0.75306,                0.61479,                0.75083,                 0.5017,                0.71785,                0.58333,                0.61944,                0.43062,                 1.5937,                 2.6634,                 1.4697,                 1.3705,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 0.7403,                 2.2481,                 2.6966,                 1.1935,                0.74688,                0.61667,                 0.7927,                0.51255,                0.71833,                0.59028,                0.61304,                 0.4287,                 1.5925,                 2.6584,                 1.4617,                 1.3661,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.79545,                 2.1534,                 2.3514,                 1.2037,                 0.7511,                0.61037,                0.77832,                0.52465,                0.71231,                0.57703,                0.65366,                0.43841,                 1.5929,                 2.6478,                 1.4553,                 1.3666,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                0.89257,                 2.6332,                 2.4902,                 1.2857,                0.74648,                    0.6,                0.76554,                0.52355,                0.70635,                0.56667,                0.64905,                0.43625,                 1.5983,                 2.6451,                 1.4603,                  1.371,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0789,                 2.9686,                 2.3373,                  1.195,                 0.7548,                0.59979,                0.76556,                0.52396,                0.73423,                0.58333,                0.67487,                0.44306,                 1.5994,                 2.6387,                 1.4618,                  1.372,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                0.81318,                  2.045,                 2.7049,                 1.1669,                0.74775,                    0.6,                0.74599,                0.51523,                0.72779,                0.58333,                0.68789,                0.44606,                  1.606,                 2.6414,                 1.4651,                 1.3738,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.68163,                  2.469,                 1.7412,                 1.0821,                0.74756,                    0.6,                0.75883,                0.50625,                0.72774,                0.58333,                0.67353,                0.42852,                 1.6042,                 2.6348,                 1.4838,                 1.3734,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 1.2284,                 2.9383,                 3.1055,                 1.5719,                0.75368,                    0.6,                0.75882,                0.48831,                0.73325,                0.58333,                0.67297,                0.43332,                 1.6071,                 2.6356,                 1.4983,                 1.3771,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.85502,                 2.4477,                 1.5802,                 1.2148,                0.75999,                0.59958,                0.71801,                0.48106,                0.73968,                0.58333,                0.63335,                0.42564,                 1.6029,                 2.6216,                 1.5208,                 1.3758,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.89519,                 2.5537,                 2.9486,                 1.2361,                0.74754,                    0.6,                0.75808,                0.49035,                0.72907,                0.58333,                 0.6728,                 0.4329,                 1.6171,                 2.6143,                  1.521,                 1.3819,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                0.93334,                  1.936,                 1.5574,                 1.2267,                0.74574,                    0.6,                0.75608,                0.48948,                0.73645,                0.59164,                0.67201,                0.43264,                 1.6183,                 2.6105,                 1.5305,                 1.3834,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.73193,                 1.6889,                 1.6157,                 1.0995,                0.74574,                    0.6,                0.75608,                0.48948,                0.73645,                0.59164,                0.67201,                0.43264,                 1.6183,                 2.6105,                 1.5305,                 1.3834,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                  1.125,                 3.2308,                 3.4414,                 1.3251,                0.74173,                    0.6,                0.75657,                0.49327,                0.73386,                0.59292,                0.69106,                0.43804,                 1.6201,                 2.6111,                 1.5417,                  1.383,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                0.86818,                 2.4878,                 2.0417,                 1.2395,                0.74173,                    0.6,                0.75657,                0.49327,                0.73386,                0.59292,                0.69106,                0.43804,                 1.6201,                 2.6111,                 1.5417,                  1.383,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.0283,                 3.0025,                 2.1059,                   1.29,                0.73475,                    0.6,                0.75154,                 0.4917,                0.73024,                0.59594,                0.68814,                 0.4489,                 1.6114,                 2.6091,                 1.5618,                 1.3815,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.0149,                 2.5414,                 1.7656,                  1.258,                0.73475,                    0.6,                0.75154,                 0.4917,                0.73024,                0.59594,                0.68814,                 0.4489,                 1.6114,                 2.6091,                 1.5618,                 1.3815,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.80017,                   2.32,                 1.6546,                 1.0894,                0.76428,                    0.6,                0.69817,                0.46575,                0.71117,                0.51119,                0.56554,                0.41003,                 1.5972,                 2.6077,                 1.5773,                 1.3743,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                0.91046,                 2.6758,                 2.3141,                  1.243,                0.76428,                    0.6,                0.69817,                0.46575,                0.71117,                0.51119,                0.56554,                0.41003,                 1.5972,                 2.6077,                 1.5773,                 1.3743,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                0.89205,                 2.6091,                 1.6932,                 1.1589,                0.71594,                0.61667,                0.75478,                 0.4496,                0.66588,                0.51667,                0.62158,                 0.4272,                 1.5932,                  2.597,                 1.5997,                 1.3712,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                0.84142,                 1.2944,                 1.0471,                 1.1893,                0.71594,                0.61667,                0.75478,                 0.4496,                0.66588,                0.51667,                0.62158,                 0.4272,                 1.5932,                  2.597,                 1.5997,                 1.3712,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.77929,                 2.3738,                 1.4895,                 1.1043,                0.69664,                0.61667,                0.69986,                0.42902,                0.65177,                0.51667,                0.56665,                0.41074,                 1.5886,                 2.6086,                  1.641,                 1.3729,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.0885,                 2.5231,                 1.5333,                 1.2728,                0.69664,                0.61667,                0.69986,                0.42902,                0.65177,                0.51667,                0.56665,                0.41074,                 1.5886,                 2.6086,                  1.641,                 1.3729,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.79704,                 1.8222,                 1.2989,                  1.092,                0.67548,                0.61667,                 0.6934,                   0.42,                0.65586,                    0.6,                0.59349,                0.41513,                  1.604,                 2.6094,                 1.6742,                 1.3765,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                0.60027,                 2.0377,                 1.2107,                 1.0707,                0.67548,                0.61667,                 0.6934,                   0.42,                0.65586,                    0.6,                0.59349,                0.41513,                  1.604,                 2.6094,                 1.6742,                 1.3765,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                0.58942,                 1.7432,                0.99182,                0.96069,                0.71423,                0.61667,                0.69795,                0.42366,                0.67125,                0.60968,                0.59339,                0.41585,                 1.6111,                 2.6125,                  1.705,                  1.383,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                0.71681,                 1.8023,                 1.2155,                 1.0847,                0.71423,                0.61667,                0.69795,                0.42366,                0.67125,                0.60968,                0.59339,                0.41585,                 1.6111,                 2.6125,                  1.705,                  1.383,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                0.83967,                 2.6921,                 2.6994,                 1.2623,                0.78021,                   0.45,                 0.6942,                0.40931,                0.67291,                0.51667,                0.58437,                0.41431,                 1.6353,                 2.6168,                  1.735,                 1.3969,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.0051,                  2.795,                 1.8051,                 1.3094,                0.78021,                   0.45,                 0.6942,                0.40931,                0.67291,                0.51667,                0.58437,                0.41431,                 1.6353,                 2.6168,                  1.735,                 1.3969,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.73178,                 2.0394,                 1.0655,                 1.1071,                0.90913,                    0.4,                0.65316,                0.39979,                0.68826,                   0.35,                0.54397,                0.39146,                 1.6175,                 2.6193,                 1.7792,                 1.3839,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.90741,                 2.2774,                 1.3149,                 1.2056,                0.90913,                    0.4,                0.65316,                0.39979,                0.68826,                   0.35,                0.54397,                0.39146,                 1.6175,                 2.6193,                 1.7792,                 1.3839,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.0612,                 1.9177,                 1.3009,                  1.264,                0.91126,                0.39989,                0.67937,                0.39928,                0.68963,                   0.35,                 0.5343,                  0.393,                 1.6339,                 2.6565,                 1.7811,                 1.4001,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.68682,                 2.0758,                0.87455,                 1.1281,                0.91126,                0.39989,                0.67937,                0.39928,                0.68963,                   0.35,                 0.5343,                  0.393,                 1.6339,                 2.6565,                 1.7811,                 1.4001,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.63698,                 1.7022,                 1.3289,                 1.1161,                 0.9125,                0.39388,                0.67992,                0.39233,                0.75675,                0.32123,                0.52927,                0.38815,                 1.6565,                 2.6698,                  1.805,                 1.4093,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.68085,                 1.8819,                0.79131,                0.99482,                 0.9125,                0.39388,                0.67992,                0.39233,                0.75675,                0.32123,                0.52927,                0.38815,                 1.6565,                 2.6698,                  1.805,                 1.4093,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.59409,                 1.6208,                 1.3866,                 1.0385,                0.91754,                0.39205,                0.55809,                0.32291,                0.75525,                0.32225,                0.43901,                0.30723,                 1.6667,                 2.6563,                 1.8549,                 1.4087,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.84823,                 1.7734,                 1.1366,                 1.1039,                0.91754,                0.39205,                0.55809,                0.32291,                0.75525,                0.32225,                0.43901,                0.30723,                 1.6667,                 2.6563,                 1.8549,                 1.4087,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.55378,                 1.6987,                0.98701,                  1.059,                0.91791,                 0.3907,                0.61523,                0.33943,                0.75382,                0.31667,                0.49266,                0.32258,                 1.6686,                 2.6603,                  1.894,                 1.4118,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.52035,                 1.6241,                0.71197,                 1.0044,                0.91791,                 0.3907,                0.61523,                0.33943,                0.75382,                0.31667,                0.49266,                0.32258,                 1.6686,                 2.6603,                  1.894,                 1.4118,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 0.8945,                 2.1838,                 1.4585,                 1.1674,                0.91897,                0.39031,                0.51918,                0.29344,                0.75755,                0.31667,                0.40252,                0.27392,                 1.6788,                 2.6725,                 1.9276,                 1.4164,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.59533,                  1.952,                 1.0961,                 1.0168,                0.91897,                0.39031,                0.51918,                0.29344,                0.75755,                0.31667,                0.40252,                0.27392,                 1.6788,                 2.6725,                 1.9276,                 1.4164,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.61544,                 1.4646,                0.90112,                 1.0175,                0.91885,                 0.3902,                0.51896,                0.29332,                0.76215,                0.31667,                0.40229,                0.27425,                 1.6826,                 2.6758,                 1.9475,                 1.4152,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.86538,                 2.2176,                 1.4988,                 1.1923,                0.91885,                 0.3902,                0.51896,                0.29332,                0.76215,                0.31667,                0.40229,                0.27425,                 1.6826,                 2.6758,                 1.9475,                 1.4152,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.61513,                 1.6087,                0.81622,                 1.0378,                0.92014,                0.39043,                0.50323,                0.28031,                0.76267,                 0.3086,                 0.3894,                0.26204,                 1.6892,                  2.678,                 1.9706,                 1.4172,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                   0.82,                 2.0893,                 1.3346,                 1.1721,                0.92014,                0.39043,                0.50323,                0.28031,                0.76267,                 0.3086,                 0.3894,                0.26204,                 1.6892,                  2.678,                 1.9706,                 1.4172,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.73607,                 1.6541,                 1.3845,                 1.1023,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.63499,                 1.6388,                 1.4015,                 1.1179,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.71392,                  1.922,                 1.1721,                 1.0903,                0.91806,                 0.3904,                0.49664,                0.27994,                  0.763,                    0.3,                0.38566,                0.26046,                 1.6829,                  2.679,                 1.9872,                 1.4148,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.71128,                 1.9757,                 1.2243,                 1.0695,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.70171,                 2.1449,                 1.0761,                 1.0431,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.66157,                 1.7058,                 1.0875,                 1.0325,                0.91445,                0.39023,                0.48248,                0.26749,                0.76557,                    0.3,                0.37149,                 0.2479,                 1.6792,                  2.702,                  1.992,                 1.4182,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.76212,                 1.8144,                0.99327,                 1.1524,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.64721,                 1.6933,                0.71566,                 1.0267,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.65144,                 1.4254,                0.79228,                  1.045,                0.91452,                0.39045,                0.44493,                0.25388,                 0.7896,                0.29333,                0.33415,                 0.2208,                 1.6899,                  2.703,                 2.0286,                 1.4232,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.56059,                 1.3533,                0.91177,                 1.0137,                0.91586,                0.39038,                0.46861,                0.26285,                0.73474,                0.34261,                0.36753,                0.23617,                 1.6923,                 2.6975,                 2.0379,                 1.4207,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 0.6077,                 1.8228,                 1.1131,                 1.0457,                0.91586,                0.39038,                0.46861,                0.26285,                0.73474,                0.34261,                0.36753,                0.23617,                 1.6923,                 2.6975,                 2.0379,                 1.4207,             2.8988e-05,             2.8988e-05,             2.8988e-05
